external_id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
Labor_346,E85 - CORTE CAMINO Y CARRETERA,true,E85,CORTE CAMINO Y CARRETERA,1.87,,0,0,0,
Labor_347,"E91 - RIEGO DE CALLES, CAMINOS, PATI",true,E91,"RIEGO DE CALLES, CAMINOS, PATI",1.87,,0,0,0,
Labor_348,J001 - ASEO Y LIMPIEZA,true,J001,ASEO Y LIMPIEZA,1.87,,0,0,0,
Labor_349,J002 - LAVADO DE EQUIPO,true,J002,LAVADO DE EQUIPO,1.87,,0,0,0,
Labor_350,J049 - SEGURIDAD BOQUETE,true,J049,SEGURIDAD BOQUETE,1.87,,0,0,0,
Labor_351,J050 - VIGILANCIA DE FINCA,true,J050,VIGILANCIA DE FINCA,1.87,,0,0,0,
Labor_352,J069 - Otras Labores Campo,true,J069,Otras Labores Campo,1.87,,0,0,0,
Labor_353,J41 - PREVENCIÓN DE INCENDIO,true,J41,PREVENCIÓN DE INCENDIO,1.87,,0,0,0,
Labor_354,J50 - RECLUTAMIENTO AGRICOLA,true,J50,RECLUTAMIENTO AGRICOLA,1.87,,0,0,0,
Labor_355,J81 - OPERACION DE MOTOSIERRA,true,J81,OPERACION DE MOTOSIERRA,1.87,,0,0,0,
Labor_356,K001 - ASEO Y MANTENIMIENTO,true,K001,ASEO Y MANTENIMIENTO,1.87,,0,0,0,
Labor_357,K004 - CORTE DE CAÑA,true,K004,CORTE DE CAÑA,1.87,,0,0,0,
Labor_358,K005 - FUMIGACION AEREA POR HERBICIDA,true,K005,FUMIGACION AEREA POR HERBICIDA,1.87,,0,0,0,
Labor_359,K006 - FUMIGACION AEREA MADURANTE,true,K006,FUMIGACION AEREA MADURANTE,1.87,,0,0,0,
Labor_360,K009 - CHAPEO,true,K009,CHAPEO,1.87,,0,0,0,
Labor_361,K01 - ABONAMIENTO,true,K01,ABONAMIENTO,1.87,,0,0,0,
Labor_362,K010 - CAPATACES Y ASISTENTES,true,K010,CAPATACES Y ASISTENTES,1.87,,0,0,0,
Labor_363,K011 - CONTRUC. O MANT. DE CERCAS,true,K011,CONTRUC. O MANT. DE CERCAS,1.87,,0,0,0,
